Name,Price_After,Price_Before,Discount,Rating,Sold_Count,Store_Location
Buavita Orange [1000 mL],Rp28.400,Rp29.700,4%,"4,8","2,8 rb",
Buavita Orange [1000 mL],Rp28.400,Rp29.700,4%,"4,8","2,8 rb",
Buavita Mangga [1000 mL],Rp28.400,Rp29.700,4%,"4,9","1,6 rb",
Buavita Mangga [1000 mL],Rp28.400,Rp29.700,4%,"4,9","1,6 rb",
RINSO Molto Pink Rose Fresh Deterjen Bubuk [770 g],Rp30.000,Rp35.000,14%,"4,9",336,
RINSO Molto Pink Rose Fresh Deterjen Bubuk [770 g],Rp30.000,Rp35.000,14%,"4,9",336,
Rinso Molto Deterjen Bubuk Detergen Anti Noda Classic Fresh Proteksi Higienis 1.8 Kg,Rp65.200,Rp74.000,12%,"5,0",72,
Rinso Molto Deterjen Bubuk Detergen Anti Noda Classic Fresh Proteksi Higienis 1.8 Kg,Rp65.200,Rp74.000,12%,"5,0",72,
Lifebuoy Total 10 Sabun Batang 100 g [4 Pcs],Rp19.800,Rp21.075,6%,"5,0",460,
Lifebuoy Total 10 Sabun Batang 100 g [4 Pcs],Rp19.800,Rp21.075,6%,"5,0",460,
SARIWANGI 68143152 Teh Hijau Celup [1.85 g/ 25 pcs],Rp11.000,Rp12.000,8%,"4,9","1,1 rb",
SARIWANGI 68143152 Teh Hijau Celup [1.85 g/ 25 pcs],Rp11.000,Rp12.000,8%,"4,9","1,1 rb",
Buavita Mangga [500 mL],Rp14.600,Rp15.400,5%,"4,8",2 rb,
Buavita Mangga [500 mL],Rp14.600,Rp15.400,5%,"4,8",2 rb,
Dove Deeply Nourish Body Wash Banded 400 mL[2 Pcs] - D,Rp35.000,,,"5,0",690,
Dove Deeply Nourish Body Wash Banded 400 mL[2 Pcs] - D,Rp35.000,,,"5,0",690,
Lux Sabun Cair White Velvet Touch Refill 825 mL Twinpack [2 Pcs],Rp85.400,Rp92.000,7%,"5,0",10,
Lux Sabun Cair White Velvet Touch Refill 825 mL Twinpack [2 Pcs],Rp85.400,Rp92.000,7%,"5,0",10,
"Rinso Molto Deterjen Anti Noda Detergen Bubuk Pewangi Classic Fresh 1.8Kg-Detergen Pewangi, Detergen Bubuk",Rp41.490,Rp56.400,26%,"4,8",160,
"Rinso Molto Deterjen Anti Noda Detergen Bubuk Pewangi Classic Fresh 1.8Kg-Detergen Pewangi, Detergen Bubuk",Rp41.490,Rp56.400,26%,"4,8",160,
Beli 2 Pcs Bango Kecap Manis 67757643 Kemasan Pouch 520 mL Free Bag Cantik,Rp50.500,Rp59.900,16%,"5,0",76,
Beli 2 Pcs Bango Kecap Manis 67757643 Kemasan Pouch 520 mL Free Bag Cantik,Rp50.500,Rp59.900,16%,"5,0",76,
Beli 2 Pcs Bango Kecap Manis 67757643 Kemasan Pouch 520 mL Free Bag Cantik,Rp50.400,Rp59.900,16%,"5,0",196,
