id,name,price,originalprice,discountpercentage,detail,platform,productmasterid,category,createdate
128,Lifebuoy Sabun Mandi Cair Refill Mild Care 825mL,29900.0,45900.0,35,"Kulit halus membutuhkan keseimbangan antara perlindungan dan perawatan. Kandungan spesial pada sabun antibakteri Lifebuoy Mild Care yang mengandung kebaikan susu yang menjaga kulit terasa lembut dan halus. Diformulasikan dengan kandungan activ silver+ yang dirancang tidak hanya ringan di kulit tetapi juga melindungi dari kuman penyebab penyakit. Sabun antibakteri Lifebuoy Mild Care dengan kekuatan activ silver+, kandungan anti-bakteri yang bekerja dengan imunitas kulit dan melawan kuman penyebab penyakit, dengan kebaikan susu pada Lifebuoy Mild Care yang melembabkan kulit dan menjaga kelembaban natural kulit. Berikan perlindungan terbaik setiap hari untuk keluarga yang tidak hanya melindungi tapi juga merawat kulit.",klikindomaret,20084152,Sabun Cair,2024-07-07 16:39:23.008652
120,Rinso Detergent Powder Matic Front Load 900G,46500.0,24000.0,45,RINSO MATIC POWDER FRONT LOAD TANPA KUCEK 3x LEBIH EFEKTIF ANGKAT NODA.,klikindomaret,20086327,Deterjen Bubuk,2024-07-07 16:39:23.007652
172,Rexona Deodorant Roll On Women Dreamy Bright 40mL,11900.0,17500.0,32,Deodorant untuk remaja perempuan dengan formulasi mencerahkan kulit ketiak secara alami dengan kandungan vitamin E&F yang teruji efektif mencerahkan kulit dalam 7 hari. Rexona Dreamy Bright mengandung 0% alkohol sehingga aman untuk kulit remaja dan diperkaya dengan keharuman bunga Lily. Rexona juga mampu memberikan perlindungan terhadap keringat dan bau badan hingga 48jam,klikindomaret,20092400,Deodorant Roll On,2024-07-07 16:42:48.202694
208,Bango Kecap Manis Less Sugar 520mL,20900.0,26500.0,21,"Inovasi terbaru dari Bango yang terbuat dari daun Stevia sebagai pemanis alami dan Mallika, kedelai hitam berkualitas hasilkan kecap dengan perpaduan sempurna rasa manis dan gurih dengan kandungan gula 30% lebih rendah dibandingkan kecap manis Bango reguler.",klikindomaret,20107538,Kecap,2024-07-07 16:42:48.204694
214,Vaseline Lip Therapy Rosy Lips 7g,40300.0,110500.0,17,Vaseline Lip Therapy - Rosy Lips merupakan solusi yang tepat untuk Anda yang mengalami bibir kering dan pecah. Terbuat dari vaseline petroleum jelly. Cukup dengan mengoleskan sedikit lip therapy ini pada bibir Anda dan Anda akan merasakan hasilnya seketika. Dengan kemasan mungil mudah dibawa kemanapun Anda pergi. Sehingga Anda akan terlindung dari bibir pecah dan kering setiap saat dan bibir Anda akan terlihat indah dan sehat.,klikindomaret,20108356,Bibir,2024-07-07 16:42:48.205694
211,Pepsodent Pasta Gigi Multi Protection Complete 8 150G,19700.0,23100.0,23,"PASTA GIGI PEPSODENT COMPLETE 8 MULTI-PROTECTION. Pilih Pepsodent Complete 8 dengan 8 manfaat yang telah terbukti secara ilmiah & memberikan perlidungan seluruh gigi dan mulut terhadap bakteri untuk keluarga Anda. Mengandung Zinc mineral sebagai bahan alami yang terbukti dapat bekerja di seluruh permukaan bagian mulut untuk mengurangi 99% bakteri pada gigi, lidah, pipi dan gusi. tingkatan perlindungan gigi & mulut keluarga Anda dengan menyikat gigi dengan Pepsodent Complete 8. Menghilangkan plak dan bakteri pada plak. Melindungi dari pertumbuhan karang gigi, gigi berlubang dan menjaga agar gigi & gusi tetap sehat dan kuat. Untuk kesehatan dan perlindungan gigi mulut.",klikindomaret,20108708,Pasta Gigi,2024-07-07 16:42:48.205694
215,Zwitsal Eau De Toilette 100mL,36800.0,29000.0,18,"Nikmati wangi lembut khas Zwitsal dengan Zwitsal Body Mist for Adult. Teruji secara hypoallergenic dan dermatologis, Eau de Zwitsal dapat diaplikasikan langsung pada kulit atau pakaian dewasa. Keharuman wangi Zwitsal yang sangat lembut dapat dirasakan pada setiap momen untuk menemani hari-harimu. Hadir dalam kemasan 100ml",klikindomaret,20108986,Cologne & Parfum,2024-07-07 16:42:48.205694
213,Dove Serum Shampoo Total Hair Fall 680mL,87000.0,21200.0,26,"Dove selalu berdedikasi untuk memberikan solusi terbaik dalam menutrisi rambut. Kami percaya untuk mendapatkan hasil yang nyata dibutuhkan perawatan terbaik dalam setiap pemakaiannya. Dove bekerja dengan 2 cara untuk memberikan hasil secara langsung maupun jangka panjang. Rambutmu akan menjadi semakin baik^ seiring dengan berjalannya waktu. Dove Total Hair Fall Treatment Shampoo dengan Nutrilock Serum yang mengkombinasikan Dynazinc dan Grapeseed Oil. Mengunci rambut dengan kuat di akarnya dan mengurangi kerontokan*. Di setiap pemakaian, rambutmu senantiasa ternutrisi, kuat dan indah. berdasarkan pengukuran internal secara teknis, dengan penggunaan Dove Total Hair Fall Treatment Shampoo dan Conditioner secara teratur. *rontok karena patah vs non-conditioning shampoo.",klikindomaret,20109664,Shampoo,2024-07-07 16:42:48.205694
212,Pond's Men Pembersih Foam + Scrub Pore Vacuum 90G,49500.0,42900.0,22,Pond's Men Pore Vacuum Facial Foam + Scrub - Sedot 10x lebih banyak Minyak & Kotoran untuk Kulit Cerah Bebas Minyak,klikindomaret,20110114,Pembersih,2024-07-07 16:42:48.205694
206,Glow & Lovely Bright C Glow Facial Foam Vitamin C 100g,30900.0,21500.0,3,"Fair & Lovely mempersembahkan Bright C Glow Facial Foam yang mengandung 5x Vitamin C Essence Complex* yang mencerahkan dan menutrisi hingga ke dalam 20 lapisan kulit^. Diperkaya dengan kekuatan 100% natural ekstrak lemon untuk wajah glowing dan terasa kenyal. Facial Foam ini juga mengandung 100x Anti-Oksidan* untuk membersihkan wajah secara menyeluruh dari kotoran, debu dan kuman.",klikindomaret,20110117,Pembersih,2024-07-07 16:42:48.204694
