name,link,plu,discount,original_price,discounted_price,description,store_info,category
Ponds Men Sunscreen Gel Uv Protect Spf35 Pa+++ 30G,https://www.klikindomaret.com/product/men-sunscreen-gel-uv-protect,20133262,50%,Rp 41.000,41.9,"Sunscreen Gel pertama yang diformulasikan khusus untuk pria di Indonesia dari Pond's Men yang memiliki tiga kekuatan perlindungan terhadap UVA/UVB, Blue Light, efek buruk polusi, radikal bebas, serta kekuatan Niacinamide yang melindungi dari kusam dan minyak berlebih. Hadir dengan tekstur yang ringan, Mudah Menyerap, Tidak Lengket, No Whitecast, sangat cocok untuk kulit pria yang beraktivitas di luar ruangan dan cocok untuk penggunaan sehari-hari.",Warehouse Jakarta 1,Wajah
Ponds Sun Serum Uv Protect Spf50 Pa+++ Uva Uvb 30G,https://www.klikindomaret.com/product/sun-serum-uv-protect-spf50,20133261,50%,Rp 41.000,125.5,"Memberi perlindungan terhadap UVA/UVB & bantu perkuat skin barrier untuk wajah glowing berseri dan noda hitam tersamarkan. Terkstur Ringan, Cepat Menyerap, No Whitecast, dan 0% Alcohol.",Warehouse Jakarta 1,Wajah
Vixal Pembersih Kamar Mandi Kuat Segar 600mL,https://www.klikindomaret.com/product/pembersih-kamar-mandi-6,20132664,31%,Rp 17.200,15.8,"10X LEBIH TANGGUH MEMBERSIHKAN KERAK, MEMBUNUH 99,9% KUMAN, DENGAN AROMA YANG LEBIH SEGAR DAN TAHAN LAMA",Toko Indomaret,Pembersih Lantai & Toilet
Sunlight Pencuci Piring Reffill Extra Lembut 625mL,https://www.klikindomaret.com/product/pencuci-piring-ref-5,20132550,30%,Rp 9.900,14.9,EFEKTIF HILANGKAN LEMAK DAN LEBIH LEMBUT DITANGAN.,Toko Indomaret,Sabun Cuci Piring
Citra Hand & Body Lotion Serum Protect Glow 180mL,https://www.klikindomaret.com/product/hand--body-lotion-serum-1,20132101,45%,Rp 16.900,25.5,BARU! Citra Natural Booster Body Serum Protect Glow SPF 20 PA with 20x Niacinamide Vitamin C & 20x Hyaluronic Acid.,Toko Indomaret,Lotion
Rexona Deo Lotion Men Ice Cool 45G,https://www.klikindomaret.com/product/deo-lotion-men,20132099,45%,Rp 16.900,9.3,"Perlindungan dari bau badan dan keringat hingga 48 jam, 10x lebih kuat lawan baketeri penyebab bau badan*, Terasa bersih, kering, wangi dan segar sepanjang pagi.",Toko Indomaret,Lotion
Vaseline Hijab Protect Gluta Vitamin Spf 20 Serum 180mL,https://www.klikindomaret.com/product/hijab-protect-gluta-vitamin,20132102,45%,Rp 16.900,35.9,Vaseline Hijab Protect Gluta Vitamin SPF 20 Body Serum dengan 10x Kekuatan Pencerah^ dan dilengkapi dengan SPF 20 PA++ melindungi kulit dari sinar matahari dan mencegah belang pada kulit,Toko Indomaret,Lotion
Citra Hand & Body Lotion Serum Complete Glow 180mL,https://www.klikindomaret.com/product/hand--body-lotion-serum-2,20132100,3%,Rp 21.500,25.5,BARU! Citra Natural Booster Body Serum Complete Glow with 20x Niacinamide + Vitamin C & 20x Hyaluronic Acid.,Toko Indomaret,Lotion
Rexona Deo Lotion Women Free Spirit 45G,https://www.klikindomaret.com/product/deo-lotion-women,20131644,26%,Rp 21.200,16.9,Keharuman lembut yang menyejukkan sepanjang hari dalam bentuk lotion untuk mengatasi ketiak basah dan bau.,Toko Indomaret,Deodorant Spray
Rinso Detergent Powder Matic Front Load 900G,https://www.klikindomaret.com/product/detergent-powder-matic-99878,20086327,45%,Rp 24.000,46.5,RINSO MATIC POWDER FRONT LOAD TANPA KUCEK 3x LEBIH EFEKTIF ANGKAT NODA.,Toko Indomaret,Deterjen Bubuk
